query_product,model,reranking,rank,recommended_product,similarity_score,final_score,rating,sold,trust_score,is_mall
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",SBERT,no,1,Đồng hồ đeo tay thông minh Samsung Galaxy Watch FE 2024,0.8046,0.8831,5.0,1000,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",SBERT,no,2,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",0.7726,0.8467,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",SBERT,no,3,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",0.7692,0.8433,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",SBERT,no,4,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",0.7633,0.838,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",SBERT,no,5,"điện thoại 4G Samsung Galaxy Note 9 ram 6G/128G Chính Hãng, Chiến Game mượt, Chụp ảnh siêu đẹp -CMMF",0.7385,0.7967,4.91,50,0.55,0
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",SBERT,yes,1,Đồng hồ đeo tay thông minh Samsung Galaxy Watch FE 2024,0.8046,0.8831,5.0,1000,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",SBERT,yes,2,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",0.7726,0.8467,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",SBERT,yes,3,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",0.7692,0.8433,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",SBERT,yes,4,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",0.7633,0.838,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",SBERT,yes,5,"Vòng đeo tay thông minh Xiaomi Smart Band 9 Active | Màn hình TFT 1,47'', tần số quét cao 60Hz | Thời lượng pin lên đến 18 ngày, khả năng chống nước 5ATM* | Theo dõi giấc ngủ và sức khỏe toàn diện nâng cấp*",0.7256,0.8131,4.89,436,0.8,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",PhoBERT,no,1,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",0.9584,1.0331,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",PhoBERT,no,2,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",0.956,1.0301,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",PhoBERT,no,3,"Điện thoại Samsung Galaxy A56 5G, Màn Hình FHD 6.7”, Mặt lưng kính, AI-Best Face, Camera giảm nhiễu ảnh chụp đêm, Sạc 45W",0.9543,1.0506,4.87,2400,0.8,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",PhoBERT,no,4,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",0.9535,1.0276,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",PhoBERT,no,5,"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ",0.9507,1.0649,4.95,5100,0.8,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",PhoBERT,yes,1,"Điện thoại Samsung Galaxy S25 Ultra (256GB | 512GB), Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, S Pen đa nhiệm",0.9483,1.0718,4.93,5600,0.85,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",PhoBERT,yes,2,"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ",0.9507,1.0649,4.95,5100,0.8,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",PhoBERT,yes,3,"Điện thoại Samsung Galaxy A16 5G (4-128GB), màn hình Super AMOLED 6.7"", kháng bụi nước IP54, bền mượt 6 năm",0.9485,1.0523,4.92,3700,0.8,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",PhoBERT,yes,4,"Điện thoại Samsung Galaxy A56 5G, Màn Hình FHD 6.7”, Mặt lưng kính, AI-Best Face, Camera giảm nhiễu ảnh chụp đêm, Sạc 45W",0.9543,1.0506,4.87,2400,0.8,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",PhoBERT,yes,5,"Điện thoại Samsung Galaxy S24 Ultra, Điện thoại AI, Camera 200MP, Màn hình lớn 6.8""",0.9487,1.0474,5.0,5400,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-SBERT,no,1,Đồng hồ đeo tay thông minh Samsung Galaxy Watch FE 2024,0.9834,1.0619,5.0,1000,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-SBERT,no,2,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",0.9595,1.0336,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-SBERT,no,3,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",0.9595,1.0336,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-SBERT,no,4,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",0.9366,1.0113,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-SBERT,no,5,"Đồng hồ thông minh Samsung Galaxy Watch Ultra, Galaxy AI, thiết kế từ Titan, 47mm, LTE",0.9012,0.9757,5.0,141,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-SBERT,yes,1,Đồng hồ đeo tay thông minh Samsung Galaxy Watch FE 2024,0.9834,1.0619,5.0,1000,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-SBERT,yes,2,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",0.9595,1.0336,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-SBERT,yes,3,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",0.9595,1.0336,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-SBERT,yes,4,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",0.9366,1.0113,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-SBERT,yes,5,"Vòng đeo tay thông minh Xiaomi Smart Band 9 Active | Màn hình TFT 1,47'', tần số quét cao 60Hz | Thời lượng pin lên đến 18 ngày, khả năng chống nước 5ATM* | Theo dõi giấc ngủ và sức khỏe toàn diện nâng cấp*",0.8941,0.9816,4.89,436,0.8,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-PhoBERT,no,1,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",0.96,1.0347,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-PhoBERT,no,2,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",0.9595,1.0336,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-PhoBERT,no,3,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",0.9519,1.026,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-PhoBERT,no,4,"Đồng hồ thông minh Samsung Galaxy Watch Ultra, Galaxy AI, thiết kế từ Titan, 47mm, LTE",0.9148,0.9893,5.0,141,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-PhoBERT,no,5,"Điện thoại Samsung Galaxy S24 Ultra, Điện thoại AI, Camera 200MP, Màn hình lớn 6.8""",0.8565,0.9552,5.0,5400,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-PhoBERT,yes,1,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",0.96,1.0347,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-PhoBERT,yes,2,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",0.9595,1.0336,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-PhoBERT,yes,3,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",0.9519,1.026,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-PhoBERT,yes,4,"Đồng hồ thông minh Samsung Galaxy Watch Ultra, Galaxy AI, thiết kế từ Titan, 47mm, LTE",0.9148,0.9893,5.0,141,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Hybrid-PhoBERT,yes,5,"Điện thoại Samsung Galaxy S24 Ultra, Điện thoại AI, Camera 200MP, Màn hình lớn 6.8""",0.8565,0.9552,5.0,5400,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,TF-IDF,no,1,Apple iPhone 13 128GB Chính Hãng (VN/A),0.3677,0.4434,5.0,396,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,TF-IDF,no,2,Apple iPhone 15 128GB Chính hãng (VN/A),0.3567,0.4358,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,TF-IDF,no,3,iPhone 15 128GB Chính Hãng VN/A,0.35,0.4244,5.0,114,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,TF-IDF,no,4,Apple iPhone 14 128GB Chính Hãng (VN/A),0.3419,0.4165,5.0,154,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,TF-IDF,no,5,Điện thoại Apple iPhone 17 Pro Max - Hàng Chính Hãng ZP/A,0.3147,0.4303,4.95,2300,0.95,1
iPhone 13 - Hàng Chính Hãng VN/A,TF-IDF,yes,1,Apple iPhone 13 128GB Chính Hãng (VN/A),0.3677,0.4434,5.0,396,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,TF-IDF,yes,2,Apple iPhone 15 128GB Chính hãng (VN/A),0.3567,0.4358,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,TF-IDF,yes,3,Điện thoại Apple iPhone 17 Pro Max - Hàng Chính Hãng ZP/A,0.3147,0.4303,4.95,2300,0.95,1
iPhone 13 - Hàng Chính Hãng VN/A,TF-IDF,yes,4,iPhone 15 128GB Chính Hãng VN/A,0.35,0.4244,5.0,114,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,TF-IDF,yes,5,Tai Nghe Apple EarPods Cổng Lightning (MMTN2) - Hàng Chính Hãng ZA/A,0.277,0.4227,4.91,6000,1.0,1
iPhone 13 - Hàng Chính Hãng VN/A,SBERT,no,1,Điện thoại Apple iPhone 16 Plus - Hàng Chính Hãng VN/A,0.899,0.994,4.98,895,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,SBERT,no,2,Apple iPhone 13 128GB Chính Hãng (VN/A),0.8964,0.9721,5.0,396,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,SBERT,no,3,Apple iPhone 15 128GB Chính hãng (VN/A),0.8919,0.971,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,SBERT,no,4,Điện thoại Apple iPhone 16 - Hàng Chính Hãng VN/A,0.8877,0.982,4.93,883,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,SBERT,no,5,Apple iPhone 14 128GB Chính hãng (VN/A),0.886,0.9603,5.0,87,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,SBERT,yes,1,Điện thoại Apple iPhone 16 Plus - Hàng Chính Hãng VN/A,0.899,0.994,4.98,895,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,SBERT,yes,2,Điện thoại Apple iPhone 16 - Hàng Chính Hãng VN/A,0.8877,0.982,4.93,883,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,SBERT,yes,3,Apple iPhone 13 128GB Chính Hãng (VN/A),0.8964,0.9721,5.0,396,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,SBERT,yes,4,Apple iPhone 15 128GB Chính hãng (VN/A),0.8919,0.971,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,SBERT,yes,5,Điện thoại Apple iPhone 17 Pro Max - Hàng Chính Hãng ZP/A,0.8506,0.9662,4.95,2300,0.95,1
iPhone 13 - Hàng Chính Hãng VN/A,PhoBERT,no,1,Điện thoại Apple iPhone Air - Hàng Chính Hãng ZP/A,0.9529,1.0326,5.0,90,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,PhoBERT,no,2,Apple iPhone 15 128GB Chính hãng (VN/A),0.9528,1.0319,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,PhoBERT,no,3,Điện thoại Apple iPhone 17 - Hàng Chính Hãng ZP/A,0.9525,1.0385,4.92,364,0.8,1
iPhone 13 - Hàng Chính Hãng VN/A,PhoBERT,no,4,Điện thoại Apple iPhone 16 Plus - Hàng Chính Hãng VN/A,0.9489,1.0439,4.98,895,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,PhoBERT,no,5,Điện thoại Apple iPhone 16 - Hàng Chính Hãng VN/A,0.9486,1.0429,4.93,883,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,PhoBERT,yes,1,MacBook Air 2020 13.3 inch M1- Hàng Chính Hãng SA/A,0.9406,1.0639,4.85,3400,0.95,1
iPhone 13 - Hàng Chính Hãng VN/A,PhoBERT,yes,2,Điện thoại Apple iPhone 17 Pro Max - Hàng Chính Hãng ZP/A,0.9367,1.0523,4.95,2300,0.95,1
iPhone 13 - Hàng Chính Hãng VN/A,PhoBERT,yes,3,Điện thoại Apple iPhone 16 Plus - Hàng Chính Hãng VN/A,0.9489,1.0439,4.98,895,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,PhoBERT,yes,4,Điện thoại Apple iPhone 16 - Hàng Chính Hãng VN/A,0.9486,1.0429,4.93,883,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,PhoBERT,yes,5,Điện thoại Apple iPhone 17 - Hàng Chính Hãng ZP/A,0.9525,1.0385,4.92,364,0.8,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-SBERT,no,1,Apple iPhone 13 128GB Chính Hãng (VN/A),0.9753,1.051,5.0,396,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-SBERT,no,2,Apple iPhone 15 128GB Chính hãng (VN/A),0.9595,1.0386,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-SBERT,no,3,iPhone 15 128GB Chính Hãng VN/A,0.9228,0.9972,5.0,114,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-SBERT,no,4,Apple iPhone 14 128GB Chính Hãng (VN/A),0.9086,0.9832,5.0,154,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-SBERT,no,5,Điện thoại Apple iPhone 17 - Hàng Chính Hãng ZP/A,0.9008,0.9868,4.92,364,0.8,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-SBERT,yes,1,Apple iPhone 13 128GB Chính Hãng (VN/A),0.9753,1.051,5.0,396,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-SBERT,yes,2,Apple iPhone 15 128GB Chính hãng (VN/A),0.9595,1.0386,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-SBERT,yes,3,Điện thoại Apple iPhone 17 Pro Max - Hàng Chính Hãng ZP/A,0.8884,1.004,4.95,2300,0.95,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-SBERT,yes,4,iPhone 15 128GB Chính Hãng VN/A,0.9228,0.9972,5.0,114,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-SBERT,yes,5,Điện thoại Apple iPhone 17 - Hàng Chính Hãng ZP/A,0.9008,0.9868,4.92,364,0.8,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-PhoBERT,no,1,Apple iPhone 15 128GB Chính hãng (VN/A),0.9673,1.0464,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-PhoBERT,no,2,Điện thoại Apple iPhone Air - Hàng Chính Hãng ZP/A,0.9456,1.0253,5.0,90,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-PhoBERT,no,3,Điện thoại Apple iPhone 17 - Hàng Chính Hãng ZP/A,0.9228,1.0088,4.92,364,0.8,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-PhoBERT,no,4,Điện thoại Apple iPhone 17 Pro Max - Hàng Chính Hãng ZP/A,0.8823,0.9979,4.95,2300,0.95,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-PhoBERT,no,5,Điện thoại Apple iPhone 16 - Hàng Chính Hãng VN/A,0.8705,0.9648,4.93,883,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-PhoBERT,yes,1,Apple iPhone 15 128GB Chính hãng (VN/A),0.9673,1.0464,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-PhoBERT,yes,2,Điện thoại Apple iPhone Air - Hàng Chính Hãng ZP/A,0.9456,1.0253,5.0,90,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-PhoBERT,yes,3,Điện thoại Apple iPhone 17 - Hàng Chính Hãng ZP/A,0.9228,1.0088,4.92,364,0.8,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-PhoBERT,yes,4,Điện thoại Apple iPhone 17 Pro Max - Hàng Chính Hãng ZP/A,0.8823,0.9979,4.95,2300,0.95,1
iPhone 13 - Hàng Chính Hãng VN/A,Hybrid-PhoBERT,yes,5,MacBook Air 2020 13.3 inch M1- Hàng Chính Hãng SA/A,0.8677,0.991,4.85,3400,0.95,1
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,TF-IDF,no,1,Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Màn Hình Màu Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,0.8296,0.8824,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,TF-IDF,no,2,"Máy Tính Có Thể Gập Lại & Máy Tính Bảng Viết LCD 6 Inch Bảng Vẽ Kỹ Thuật Số, Màn Hình 12 Chữ Số Với Bút Cảm Ứng Nút Xóa Dành Cho Trẻ Em Người Lớn Sử Dụng Tại Nhà Văn Phòng Trường Học",0.5251,0.5779,5.0,8,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,TF-IDF,no,3,Máy tính bảng viết LCD cho người lớn xóa được 10 inch toàn màn hình Bảng vẽ cho các văn bản,0.3639,0.4167,5.0,0,0.5,0
